id,harga_beli,harga_jual,timestamp
1,6060,5760,2018-02-19
2,6150,5850,2018-02-20
3,6150,5850,2018-02-21
4,6150,5850,2018-02-22
5,6150,5820,2018-02-23
6,6150,5820,2018-02-24
7,6150,5820,2018-02-25
8,6150,5820,2018-02-26
9,6150,5820,2018-02-27
10,6160,5830,2018-02-28
11,6140,5800,2018-01-03
12,6140,5800,2018-02-03
13,6150,5810,2018-03-03
14,6170,5840,2018-04-03
15,6160,5840,2018-05-03
16,6200,5880,2018-06-03
17,6180,5850,2018-07-03
18,6170,5850,2018-08-03
19,6170,5850,2018-09-03
20,6170,5850,2018-10-03
21,6180,5850,2018-11-03
22,6180,5850,2018-12-03
23,6180,5850,2018-03-13
24,6110,5830,2018-03-14
25,6090,5810,2018-03-15
26,6090,5810,2018-03-16
27,6090,5810,2018-03-17
28,6130,5830,2018-03-18
29,6140,5830,2018-03-19
30,6110,5810,2018-03-20
31,6120,5820,2018-03-21
32,6100,5800,2018-03-22
33,6100,5800,2018-03-23
34,6100,5800,2018-03-24
35,6100,5800,2018-03-25
36,6110,5810,2018-03-26
37,6130,5830,2018-03-27
38,6150,5850,2018-03-28
39,6170,5850,2018-03-29
40,6170,5850,2018-03-30
41,6170,5850,2018-03-31
42,6200,5880,2018-01-04
43,6180,5880,2018-02-04
44,6120,5850,2018-03-04
45,6150,5850,2018-04-04
46,6110,5820,2018-05-04
47,6110,5820,2018-06-04
48,6110,5820,2018-07-04
49,6140,5840,2018-08-04
50,6170,5870,2018-09-04
51,6180,5880,2018-10-04
52,6190,5890,2018-11-04
53,6200,5890,2018-12-04
54,6160,5870,2018-04-13
55,6160,5870,2018-04-14
56,6170,5870,2018-04-15
57,6190,5890,2018-04-16
58,6190,5890,2018-04-17
59,6200,5900,2018-04-18
60,6200,5900,2018-04-19
61,6160,5860,2018-04-20
62,6160,5860,2018-04-21
63,6140,5850,2018-04-22
64,6140,5850,2018-04-23
65,6150,5850,2018-04-24
66,6140,5840,2018-04-25
67,6200,5900,2018-04-26
68,6210,5900,2018-04-27
69,6210,5900,2018-04-28
70,6190,5900,2018-04-29
71,6190,5900,2018-04-30
72,6190,5900,2018-01-05
73,6230,5930,2018-02-05
